index_aleatoire;sexe;age_client;enfant_conduite_accompagnee;enfants;tranches_revenus;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tranches_devis
350;M;20;Non;Oui;[60k€ - 80k€];Private;Minivan;no;0;21;Highly Urban/ Urban;29/05/2022 04:55;complet;dev_integral;[200€ - 400€]
351;M;55;Non;Non;[60k€ - 80k€];Private;Minivan;no;0;21;Highly Urban/ Urban;04/04/2022 15:50;complet;dev_express;[200€ - 400€]
352;M;34;Non;Non;[> 100k€];Private;z_SUV;no;2;12;Highly Urban/ Urban;08/01/2022 11:18;complet;dev_express;[200€ - 400€]
353;M;28;Non;Non;[60k€ - 80k€];Commercial;Panel Truck;no;4;15;Highly Urban/ Urban;25/04/2022 02:27;complet;dev_integral;[200€ - 400€]
354;M;54;Non;Oui;[40k€ - 60k€];Commercial;z_SUV;no;0;1;Highly Urban/ Urban;11/03/2022 05:31;complet;dev_integral;[200€ - 400€]
355;F;12;Non;Non;[40k€ - 60k€];Private;z_SUV;no;6;0;Highly Urban/ Urban;23/04/2022 11:29;complet;dev_premium;[400€ - 600€]
356;F;40;Non;Oui;[< 20k€];Private;z_SUV;no;4;6;Highly Urban/ Urban;30/05/2022 19:20;complet;dev_express;[200€ - 400€]
357;M;44;Non;Non;[< 20k€];Private;z_SUV;no;7;6;z_Highly Rural/ Rural;25/02/2022 01:50;complet;dev_integral;[200€ - 400€]
358;F;61;Non;Non;[60k€ - 80k€];Commercial;Minivan;no;0;1;z_Highly Rural/ Rural;08/04/2022 06:27;complet;dev_premium;[200€ - 400€]
359;F;65;Non;Non;[< 20k€];Private;z_SUV;no;0;16;Highly Urban/ Urban;16/01/2022 04:07;complet;dev_integral;[200€ - 400€]
360;F;1;Non;Non;[< 20k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;21/01/2022 20:31;complet;dev_integral;[200€ - 400€]
361;F;3;Non;Oui;[40k€ - 60k€];Private;Minivan;no;0;7;Highly Urban/ Urban;09/04/2022 17:13;complet;dev_integral;[200€ - 400€]
362;M;27;Non;Oui;[< 20k€];Private;z_SUV;no;1;8;z_Highly Rural/ Rural;01/04/2022 06:27;complet;dev_integral;[200€ - 400€]
363;F;72;Non;Non;[20k€ - 40k€];Commercial;z_SUV;no;2;11;Highly Urban/ Urban;30/05/2022 08:43;complet;dev_integral;[200€ - 400€]
364;M;84;Non;Non;[40k€ - 60k€];Commercial;Panel Truck;no;2;8;z_Highly Rural/ Rural;26/05/2022 01:19;complet;dev_integral;[200€ - 400€]
365;M;77;Non;Non;[20k€ - 40k€];Commercial;Panel Truck;no;5;5;Highly Urban/ Urban;18/01/2022 19:21;complet;dev_vip;[600€ - 800€]
366;M;60;Non;Non;[20k€ - 40k€];Private;Minivan;no;7;1;Highly Urban/ Urban;23/03/2022 01:48;complet;dev_express;[200€ - 400€]
367;F;82;Non;Non;[< 20k€];Commercial;Pickup;yes;0;11;Highly Urban/ Urban;29/03/2022 07:38;complet;dev_express;[200€ - 400€]
368;F;81;Non;Non;[> 100k€];Private;Sports Car;no;8;20;Highly Urban/ Urban;10/05/2022 08:42;complet;dev_integral;[200€ - 400€]
369;F;85;Non;Oui;[< 20k€];Private;z_SUV;no;5;8;Highly Urban/ Urban;30/04/2022 23:20;complet;dev_express;[200€ - 400€]
370;F;61;Oui;Oui;[< 20k€];Private;Pickup;no;0;7;Highly Urban/ Urban;02/01/2022 23:14;complet;dev_integral;[200€ - 400€]
371;M;54;Non;Oui;[20k€ - 40k€];Private;z_SUV;no;0;8;Highly Urban/ Urban;06/01/2022 07:34;complet;dev_express;[200€ - 400€]
372;F;64;Non;Oui;[60k€ - 80k€];Commercial;Minivan;no;0;1;z_Highly Rural/ Rural;25/05/2022 04:29;complet;dev_integral;[200€ - 400€]
373;F;44;Oui;Oui;[40k€ - 60k€];Commercial;Van;no;0;1;Highly Urban/ Urban;15/04/2022 19:54;complet;dev_express;[200€ - 400€]
374;F;69;Non;Non;[60k€ - 80k€];Private;Sports Car;no;0;10;Highly Urban/ Urban;06/05/2022 07:53;complet;dev_express;[200€ - 400€]
375;F;28;Non;Oui;[20k€ - 40k€];Private;Van;no;4;9;Highly Urban/ Urban;01/01/2022 10:42;complet;dev_integral;[200€ - 400€]
376;F;3;Non;Oui;[> 100k€];Commercial;z_SUV;no;5;5;Highly Urban/ Urban;05/01/2022 18:21;complet;dev_integral;[200€ - 400€]
377;F;49;Non;Non;[20k€ - 40k€];Commercial;Pickup;yes;0;19;Highly Urban/ Urban;08/05/2022 21:30;complet;dev_integral;[200€ - 400€]
378;M;62;Oui;Oui;[40k€ - 60k€];Commercial;Minivan;yes;0;1;Highly Urban/ Urban;09/04/2022 06:44;complet;dev_premium;[400€ - 600€]
379;F;13;Non;Non;[< 20k€];Private;z_SUV;no;0;1;z_Highly Rural/ Rural;29/01/2022 23:20;complet;dev_integral;[200€ - 400€]
380;F;8;Non;Non;[60k€ - 80k€];Commercial;Panel Truck;no;5;8;Highly Urban/ Urban;17/04/2022 16:52;complet;dev_integral;[200€ - 400€]
381;F;71;Non;Non;[> 100k€];Private;Van;yes;0;3;Highly Urban/ Urban;13/03/2022 10:59;complet;dev_express;[200€ - 400€]
382;F;40;Non;Non;[80k€ - 100k€];Private;z_SUV;no;1;8;Highly Urban/ Urban;02/05/2022 04:51;complet;dev_express;[200€ - 400€]
383;M;82;Non;Non;[80k€ - 100k€];Commercial;Minivan;yes;6;7;Highly Urban/ Urban;08/03/2022 08:49;complet;dev_integral;[200€ - 400€]
384;F;58;Non;Oui;[40k€ - 60k€];Private;Van;yes;0;12;Highly Urban/ Urban;19/04/2022 19:52;complet;dev_integral;[200€ - 400€]
385;F;88;Non;Oui;[20k€ - 40k€];Private;z_SUV;no;0;12;Highly Urban/ Urban;11/05/2022 19:57;complet;dev_integral;[200€ - 400€]
386;M;12;Non;Non;[80k€ - 100k€];Commercial;Van;no;7;10;Highly Urban/ Urban;24/03/2022 00:32;complet;dev_express;[200€ - 400€]
387;M;72;Non;Non;[60k€ - 80k€];Commercial;Panel Truck;no;0;1;Highly Urban/ Urban;27/01/2022 10:59;complet;dev_integral;[200€ - 400€]
388;F;58;Non;Non;[60k€ - 80k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;21/01/2022 20:42;complet;dev_express;[200€ - 400€]
389;M;39;Non;Non;[< 20k€];Commercial;Van;yes;1;14;Highly Urban/ Urban;01/03/2022 04:29;complet;dev_premium;[200€ - 400€]
390;F;10;Non;Oui;[20k€ - 40k€];Private;Minivan;no;1;1;Highly Urban/ Urban;28/03/2022 10:41;complet;dev_premium;[200€ - 400€]
391;F;67;Non;Non;[20k€ - 40k€];Private;Minivan;yes;1;1;Highly Urban/ Urban;16/01/2022 03:47;complet;dev_premium;[400€ - 600€]
392;M;48;Non;Non;[60k€ - 80k€];Private;Minivan;yes;2;14;Highly Urban/ Urban;10/04/2022 20:24;complet;dev_integral;[200€ - 400€]
393;M;72;Non;Oui;[> 100k€];Private;z_SUV;no;2;18;Highly Urban/ Urban;18/04/2022 02:22;complet;dev_express;[200€ - 400€]
394;F;55;Non;Non;[> 100k€];Commercial;Panel Truck;no;1;0;Highly Urban/ Urban;22/04/2022 13:14;complet;dev_integral;[200€ - 400€]
395;M;37;Non;Non;[20k€ - 40k€];Private;Pickup;no;2;6;Highly Urban/ Urban;17/01/2022 09:47;complet;dev_integral;[200€ - 400€]
396;F;4;Non;Non;[80k€ - 100k€];Private;Sports Car;no;6;1;Highly Urban/ Urban;26/02/2022 21:26;complet;dev_premium;[400€ - 600€]
397;F;82;Oui;Oui;[60k€ - 80k€];Commercial;Panel Truck;yes;0;14;z_Highly Rural/ Rural;22/05/2022 06:17;complet;dev_integral;[200€ - 400€]
398;M;68;Non;Non;[60k€ - 80k€];Commercial;Minivan;no;2;7;Highly Urban/ Urban;07/02/2022 05:05;complet;dev_integral;[200€ - 400€]
399;F;14;Non;Non;[< 20k€];Private;Minivan;yes;0;7;Highly Urban/ Urban;01/03/2022 17:16;complet;dev_integral;[200€ - 400€]
400;M;81;Non;Non;[< 20k€];Commercial;Pickup;no;4;7;Highly Urban/ Urban;26/03/2022 11:54;complet;dev_integral;[200€ - 400€]
401;M;45;Non;Non;[20k€ - 40k€];Private;Minivan;no;0;15;Highly Urban/ Urban;13/04/2022 05:45;complet;dev_premium;[400€ - 600€]
402;F;29;Non;Non;[60k€ - 80k€];Private;z_SUV;no;4;3;Highly Urban/ Urban;07/01/2022 07:53;complet;dev_premium;[400€ - 600€]
403;F;36;Non;Non;[< 20k€];Commercial;Panel Truck;yes;0;9;z_Highly Rural/ Rural;28/05/2022 14:51;complet;dev_integral;[200€ - 400€]
404;M;77;Non;Oui;[20k€ - 40k€];Private;Minivan;no;0;1;Highly Urban/ Urban;15/04/2022 13:09;complet;dev_integral;[200€ - 400€]
405;M;60;Non;Non;[60k€ - 80k€];Private;Minivan;yes;1;12;Highly Urban/ Urban;24/05/2022 14:39;complet;dev_premium;[400€ - 600€]
406;F;42;Non;Non;[60k€ - 80k€];Commercial;z_SUV;no;2;10;Highly Urban/ Urban;06/01/2022 14:38;complet;dev_express;[200€ - 400€]
407;F;69;Non;Non;[20k€ - 40k€];Private;Minivan;yes;2;9;z_Highly Rural/ Rural;08/03/2022 10:38;complet;dev_integral;[200€ - 400€]
408;F;83;Oui;Oui;[< 20k€];Commercial;z_SUV;no;0;7;Highly Urban/ Urban;31/03/2022 21:08;complet;dev_premium;[400€ - 600€]
409;M;64;Non;Non;[20k€ - 40k€];Private;Van;yes;3;4;Highly Urban/ Urban;02/03/2022 11:38;complet;dev_express;[200€ - 400€]
410;F;4;Non;Non;[< 20k€];Commercial;Pickup;yes;6;3;Highly Urban/ Urban;10/01/2022 07:16;complet;dev_express;[200€ - 400€]
411;F;24;Non;Non;[> 100k€];Commercial;Panel Truck;yes;2;1;Highly Urban/ Urban;19/01/2022 11:20;complet;dev_integral;[200€ - 400€]
412;F;50;Non;Oui;[< 20k€];Private;Sports Car;yes;10;0;Highly Urban/ Urban;23/04/2022 05:49;complet;dev_express;[200€ - 400€]
413;M;68;Oui;Oui;[80k€ - 100k€];Private;Sports Car;no;0;8;Highly Urban/ Urban;21/05/2022 22:35;complet;dev_integral;[200€ - 400€]
414;M;20;Non;Non;[> 100k€];Commercial;Van;yes;0;5;Highly Urban/ Urban;13/05/2022 22:19;complet;dev_premium;[200€ - 400€]
415;M;77;Non;Non;[60k€ - 80k€];Commercial;Minivan;no;0;3;Highly Urban/ Urban;08/03/2022 11:24;complet;dev_express;[200€ - 400€]
416;F;7;Non;Non;[> 100k€];Commercial;Panel Truck;yes;4;8;Highly Urban/ Urban;06/05/2022 15:53;complet;dev_premium;[400€ - 600€]
417;F;71;Oui;Oui;[20k€ - 40k€];Private;Van;no;0;0;Highly Urban/ Urban;28/02/2022 04:43;complet;dev_express;[200€ - 400€]
418;F;4;Non;Non;[40k€ - 60k€];Commercial;Pickup;yes;4;8;Highly Urban/ Urban;10/03/2022 05:51;complet;dev_premium;[400€ - 600€]
419;M;38;Non;Oui;[20k€ - 40k€];Commercial;Minivan;yes;6;5;z_Highly Rural/ Rural;09/04/2022 11:49;complet;dev_integral;[200€ - 400€]
420;M;58;Oui;Oui;[40k€ - 60k€];Commercial;Panel Truck;no;0;12;Highly Urban/ Urban;09/02/2022 03:38;complet;dev_express;[200€ - 400€]
421;M;79;Non;Non;[20k€ - 40k€];Commercial;Minivan;yes;0;1;z_Highly Rural/ Rural;08/01/2022 08:43;complet;dev_express;[200€ - 400€]
422;M;72;Non;Oui;[> 100k€];Private;Minivan;no;0;15;Highly Urban/ Urban;09/03/2022 20:30;complet;dev_integral;[200€ - 400€]
423;F;63;Non;Oui;[60k€ - 80k€];Commercial;z_SUV;no;5;11;Highly Urban/ Urban;24/05/2022 19:47;complet;dev_integral;[200€ - 400€]
424;M;71;Non;Non;[< 20k€];Private;z_SUV;no;3;2;Highly Urban/ Urban;20/01/2022 09:01;complet;dev_integral;[200€ - 400€]
425;M;72;Non;Oui;[20k€ - 40k€];Private;z_SUV;yes;2;13;Highly Urban/ Urban;04/04/2022 09:48;complet;dev_express;[200€ - 400€]
426;M;69;Non;Non;[40k€ - 60k€];Private;z_SUV;no;2;16;Highly Urban/ Urban;19/01/2022 08:22;complet;dev_integral;[200€ - 400€]
427;F;74;Non;Non;[20k€ - 40k€];Private;Pickup;no;0;10;z_Highly Rural/ Rural;31/05/2022 13:57;complet;dev_premium;[400€ - 600€]
428;F;46;Non;Non;[< 20k€];Commercial;Minivan;no;0;11;z_Highly Rural/ Rural;02/05/2022 00:05;complet;dev_express;[200€ - 400€]
429;M;69;Non;Non;[40k€ - 60k€];Commercial;z_SUV;no;0;1;Highly Urban/ Urban;04/04/2022 10:38;complet;dev_premium;[400€ - 600€]
430;M;63;Non;Oui;[20k€ - 40k€];Commercial;Pickup;no;0;3;z_Highly Rural/ Rural;17/04/2022 18:55;complet;dev_integral;[200€ - 400€]
431;F;72;Non;Non;[80k€ - 100k€];Private;Minivan;no;0;16;Highly Urban/ Urban;23/03/2022 15:45;complet;dev_integral;[200€ - 400€]
432;M;2;Non;Non;[> 100k€];Commercial;Minivan;no;4;12;Highly Urban/ Urban;26/01/2022 07:50;complet;dev_express;[200€ - 400€]
433;F;62;Non;Non;[< 20k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;13/02/2022 11:48;complet;dev_premium;[200€ - 400€]
434;F;54;Non;Non;[40k€ - 60k€];Private;Pickup;no;0;8;Highly Urban/ Urban;27/04/2022 03:37;complet;dev_express;[200€ - 400€]
435;M;2;Non;Non;[20k€ - 40k€];Private;Minivan;no;3;0;Highly Urban/ Urban;07/03/2022 03:55;complet;dev_integral;[200€ - 400€]
436;F;75;Non;Non;[< 20k€];Private;z_SUV;no;1;8;Highly Urban/ Urban;23/03/2022 14:10;complet;dev_integral;[200€ - 400€]
437;F;40;Non;Non;[> 100k€];Private;z_SUV;no;2;11;Highly Urban/ Urban;15/03/2022 15:42;complet;dev_integral;[200€ - 400€]
438;M;5;Non;Non;[80k€ - 100k€];Private;Pickup;no;0;17;Highly Urban/ Urban;15/01/2022 14:58;complet;dev_premium;[400€ - 600€]
439;M;11;Oui;Oui;[80k€ - 100k€];Commercial;Van;yes;0;14;Highly Urban/ Urban;09/04/2022 10:34;complet;dev_premium;[400€ - 600€]
440;F;76;Non;Oui;[60k€ - 80k€];Commercial;Minivan;no;1;5;Highly Urban/ Urban;20/01/2022 13:19;complet;dev_premium;[400€ - 600€]
441;M;53;Non;Oui;[20k€ - 40k€];Commercial;Panel Truck;yes;4;1;Highly Urban/ Urban;12/03/2022 12:59;complet;dev_express;[200€ - 400€]
442;M;63;Non;Non;[< 20k€];Private;Sports Car;no;1;0;z_Highly Rural/ Rural;09/05/2022 03:37;complet;dev_express;[200€ - 400€]
443;M;66;Non;Oui;[80k€ - 100k€];Commercial;Minivan;no;3;9;z_Highly Rural/ Rural;30/03/2022 17:53;complet;dev_express;[200€ - 400€]
444;M;22;Oui;Oui;[40k€ - 60k€];Commercial;z_SUV;no;6;5;Highly Urban/ Urban;10/04/2022 22:38;complet;dev_premium;[400€ - 600€]
445;M;59;Non;Non;[< 20k€];Private;Minivan;yes;0;0;Highly Urban/ Urban;27/01/2022 16:05;complet;dev_integral;[200€ - 400€]
446;F;8;Non;Non;[20k€ - 40k€];Private;Minivan;no;0;15;Highly Urban/ Urban;29/04/2022 09:35;complet;dev_express;[200€ - 400€]
447;M;68;Oui;Oui;[20k€ - 40k€];Commercial;Pickup;yes;5;1;Highly Urban/ Urban;29/05/2022 03:14;complet;dev_integral;[200€ - 400€]
448;F;45;Non;Oui;[80k€ - 100k€];Private;z_SUV;no;0;11;Highly Urban/ Urban;26/05/2022 22:40;complet;dev_integral;[200€ - 400€]
449;M;61;Non;Non;[40k€ - 60k€];Commercial;Pickup;yes;2;8;Highly Urban/ Urban;14/01/2022 21:13;complet;dev_express;[200€ - 400€]
450;F;41;Oui;Oui;[> 100k€];Private;z_SUV;no;0;12;Highly Urban/ Urban;11/04/2022 10:47;complet;dev_integral;[200€ - 400€]
451;F;19;Non;Oui;[< 20k€];Private;z_SUV;no;0;9;Highly Urban/ Urban;24/05/2022 20:26;complet;dev_integral;[200€ - 400€]
452;M;52;Non;Oui;[80k€ - 100k€];Commercial;Van;yes;3;1;Highly Urban/ Urban;23/01/2022 03:10;complet;dev_express;[200€ - 400€]
453;M;1;Non;Non;[60k€ - 80k€];Commercial;Pickup;no;0;1;Highly Urban/ Urban;16/04/2022 09:07;complet;dev_integral;[200€ - 400€]
454;M;55;Non;Non;[> 100k€];Commercial;Panel Truck;yes;1;9;Highly Urban/ Urban;30/03/2022 06:16;complet;dev_integral;[200€ - 400€]
455;M;43;Non;Non;[20k€ - 40k€];Commercial;Sports Car;no;0;1;z_Highly Rural/ Rural;10/05/2022 09:58;complet;dev_integral;[200€ - 400€]
456;F;38;Non;Oui;[< 20k€];Commercial;Pickup;no;0;1;z_Highly Rural/ Rural;01/05/2022 13:37;complet;dev_premium;[400€ - 600€]
457;M;75;Oui;Oui;[< 20k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;21/01/2022 11:49;complet;dev_premium;[400€ - 600€]
458;M;71;Non;Oui;[< 20k€];Private;Sports Car;no;0;13;Highly Urban/ Urban;31/05/2022 06:29;complet;dev_premium;[400€ - 600€]
459;F;13;Non;Oui;[60k€ - 80k€];Commercial;Pickup;yes;0;1;Highly Urban/ Urban;13/04/2022 06:07;complet;dev_premium;[400€ - 600€]
460;M;43;Non;Non;[20k€ - 40k€];Private;Sports Car;no;0;6;Highly Urban/ Urban;07/03/2022 13:13;complet;dev_integral;[200€ - 400€]
461;F;47;Non;Non;[20k€ - 40k€];Commercial;z_SUV;no;3;1;Highly Urban/ Urban;03/01/2022 09:08;complet;dev_express;[200€ - 400€]
462;F;58;Non;Non;[20k€ - 40k€];Private;Minivan;yes;0;1;Highly Urban/ Urban;31/05/2022 05:19;complet;dev_premium;[200€ - 400€]
463;M;78;Non;Oui;[< 20k€];Commercial;z_SUV;no;2;6;Highly Urban/ Urban;06/02/2022 22:10;complet;dev_premium;[400€ - 600€]
464;F;66;Non;Non;[40k€ - 60k€];Commercial;z_SUV;no;1;1;Highly Urban/ Urban;13/04/2022 16:21;complet;dev_express;[200€ - 400€]
465;M;65;Oui;Oui;[40k€ - 60k€];Private;Sports Car;no;2;1;Highly Urban/ Urban;04/05/2022 10:23;complet;dev_integral;[200€ - 400€]
466;M;65;Non;Oui;[< 20k€];Commercial;Pickup;no;2;12;Highly Urban/ Urban;12/02/2022 17:39;complet;dev_integral;[200€ - 400€]
467;F;41;Non;Non;[> 100k€];Commercial;Panel Truck;yes;1;12;Highly Urban/ Urban;19/05/2022 17:35;complet;dev_integral;[200€ - 400€]
468;F;3;Non;Oui;[60k€ - 80k€];Commercial;Pickup;no;0;11;z_Highly Rural/ Rural;20/03/2022 04:45;complet;dev_express;[200€ - 400€]
469;M;57;Non;Oui;[40k€ - 60k€];Private;Sports Car;no;0;15;Highly Urban/ Urban;16/03/2022 05:57;complet;dev_premium;[400€ - 600€]
470;M;56;Oui;Oui;[< 20k€];Commercial;Pickup;yes;2;1;z_Highly Rural/ Rural;11/03/2022 21:23;complet;dev_premium;[200€ - 400€]
471;M;12;Non;Non;[> 100k€];Private;Minivan;no;4;19;Highly Urban/ Urban;16/02/2022 20:52;complet;dev_express;[200€ - 400€]
472;M;39;Non;Non;[20k€ - 40k€];Private;z_SUV;no;0;5;z_Highly Rural/ Rural;07/01/2022 02:54;complet;dev_express;[200€ - 400€]
473;M;8;Non;Oui;[40k€ - 60k€];Private;Sports Car;no;0;13;Highly Urban/ Urban;26/02/2022 17:17;complet;dev_premium;[400€ - 600€]
474;M;66;Non;Oui;[80k€ - 100k€];Commercial;z_SUV;no;1;1;Highly Urban/ Urban;13/01/2022 00:17;complet;dev_integral;[200€ - 400€]
475;F;23;Non;Non;[80k€ - 100k€];Private;Sports Car;no;1;17;Highly Urban/ Urban;08/05/2022 03:44;complet;dev_express;[200€ - 400€]
476;M;64;Non;Non;[80k€ - 100k€];Commercial;z_SUV;no;6;1;Highly Urban/ Urban;02/02/2022 00:42;complet;dev_integral;[200€ - 400€]
477;F;27;Non;Oui;[20k€ - 40k€];Commercial;Minivan;yes;6;0;Highly Urban/ Urban;31/05/2022 07:38;complet;dev_integral;[200€ - 400€]
478;F;30;Non;Oui;[20k€ - 40k€];Private;Minivan;no;0;1;Highly Urban/ Urban;25/04/2022 21:28;complet;dev_integral;[200€ - 400€]
479;M;66;Non;Non;[> 100k€];Commercial;Pickup;no;0;16;Highly Urban/ Urban;16/05/2022 07:44;complet;dev_express;[200€ - 400€]
480;M;49;Non;Non;[20k€ - 40k€];Private;z_SUV;no;4;1;Highly Urban/ Urban;03/02/2022 09:48;complet;dev_integral;[200€ - 400€]
481;M;19;Non;Non;[< 20k€];Private;Minivan;no;0;1;Highly Urban/ Urban;17/02/2022 11:37;complet;dev_integral;[200€ - 400€]
482;M;66;Non;Non;[> 100k€];Private;Minivan;no;0;14;Highly Urban/ Urban;29/01/2022 10:17;complet;dev_premium;[200€ - 400€]
483;M;61;Oui;Oui;[20k€ - 40k€];Commercial;Panel Truck;yes;1;8;Highly Urban/ Urban;19/04/2022 01:02;complet;dev_premium;[400€ - 600€]
484;M;22;Non;Oui;[20k€ - 40k€];Private;z_SUV;no;7;4;Highly Urban/ Urban;19/01/2022 12:12;complet;dev_premium;[400€ - 600€]
485;F;70;Oui;Oui;[40k€ - 60k€];Private;z_SUV;no;4;11;z_Highly Rural/ Rural;29/04/2022 01:23;complet;dev_integral;[200€ - 400€]
486;M;61;Non;Oui;[< 20k€];Commercial;z_SUV;no;2;1;Highly Urban/ Urban;18/01/2022 19:29;complet;dev_express;[200€ - 400€]
487;M;48;Non;Oui;[< 20k€];Commercial;Panel Truck;yes;0;10;Highly Urban/ Urban;25/01/2022 19:36;complet;dev_express;[200€ - 400€]
488;F;57;Non;Non;[< 20k€];Private;Minivan;no;0;1;Highly Urban/ Urban;15/03/2022 01:06;complet;dev_integral;[200€ - 400€]
489;M;44;Oui;Oui;[60k€ - 80k€];Private;Sports Car;no;0;12;Highly Urban/ Urban;05/02/2022 18:50;complet;dev_express;[200€ - 400€]
490;F;68;Non;Non;[> 100k€];Private;Sports Car;no;0;12;Highly Urban/ Urban;26/01/2022 19:37;complet;dev_express;[200€ - 400€]
491;F;61;Non;Non;[20k€ - 40k€];Commercial;Sports Car;no;0;15;Highly Urban/ Urban;06/02/2022 22:30;complet;dev_express;[200€ - 400€]
492;M;56;Non;Non;[< 20k€];Private;z_SUV;no;1;1;Highly Urban/ Urban;24/05/2022 17:45;complet;dev_express;[200€ - 400€]
493;M;88;Non;Oui;[< 20k€];Private;z_SUV;no;8;5;Highly Urban/ Urban;11/01/2022 21:36;complet;dev_express;[200€ - 400€]
494;F;6;Non;Non;[60k€ - 80k€];Commercial;Minivan;no;5;8;z_Highly Rural/ Rural;11/04/2022 14:51;complet;dev_express;[200€ - 400€]
495;F;43;Non;Non;[< 20k€];Commercial;Minivan;no;2;11;Highly Urban/ Urban;13/05/2022 08:26;complet;dev_express;[200€ - 400€]
496;F;51;Non;Non;[> 100k€];Private;z_SUV;no;0;20;Highly Urban/ Urban;28/02/2022 08:01;complet;dev_premium;[400€ - 600€]
497;F;2;Non;Non;[40k€ - 60k€];Commercial;Pickup;no;0;17;Highly Urban/ Urban;19/02/2022 13:54;complet;dev_express;[200€ - 400€]
498;M;27;Non;Non;[> 100k€];Commercial;Panel Truck;yes;0;18;Highly Urban/ Urban;12/04/2022 00:22;complet;dev_integral;[200€ - 400€]
499;M;16;Non;Non;[40k€ - 60k€];Private;Pickup;no;0;8;Highly Urban/ Urban;22/03/2022 07:46;complet;dev_integral;[200€ - 400€]
500;M;38;Non;Oui;[60k€ - 80k€];Private;Pickup;yes;1;11;Highly Urban/ Urban;01/02/2022 00:03;complet;dev_express;[200€ - 400€]
501;M;89;Non;Non;[> 100k€];Private;Minivan;yes;0;16;Highly Urban/ Urban;04/03/2022 02:26;complet;dev_express;[200€ - 400€]
502;F;65;Non;Non;[20k€ - 40k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;23/03/2022 18:01;complet;dev_integral;[200€ - 400€]
503;F;54;Non;Non;[60k€ - 80k€];Private;z_SUV;no;3;0;Highly Urban/ Urban;27/01/2022 11:04;complet;dev_premium;[400€ - 600€]
504;M;4;Non;Non;[80k€ - 100k€];Commercial;Minivan;no;3;1;Highly Urban/ Urban;08/02/2022 23:25;complet;dev_express;[200€ - 400€]
505;M;38;Non;Oui;[> 100k€];Commercial;z_SUV;no;0;9;Highly Urban/ Urban;04/04/2022 21:09;complet;dev_integral;[200€ - 400€]
506;F;61;Non;Non;[> 100k€];Private;z_SUV;no;0;9;Highly Urban/ Urban;19/02/2022 18:27;complet;dev_express;[200€ - 400€]
507;M;59;Non;Oui;[80k€ - 100k€];Commercial;Van;yes;2;0;z_Highly Rural/ Rural;26/05/2022 00:20;complet;dev_premium;[400€ - 600€]
508;F;68;Oui;Oui;[< 20k€];Private;Minivan;yes;3;1;Highly Urban/ Urban;26/05/2022 20:49;complet;dev_integral;[200€ - 400€]
509;M;69;Oui;Oui;[> 100k€];Private;z_SUV;no;1;11;Highly Urban/ Urban;13/05/2022 07:42;complet;dev_premium;[400€ - 600€]
510;M;59;Oui;Oui;[20k€ - 40k€];Private;z_SUV;no;0;5;z_Highly Rural/ Rural;18/05/2022 20:23;complet;dev_integral;[200€ - 400€]
511;F;27;Non;Non;[40k€ - 60k€];Commercial;Panel Truck;no;1;1;Highly Urban/ Urban;04/01/2022 16:07;complet;dev_premium;[400€ - 600€]
512;M;56;Non;Non;[40k€ - 60k€];Private;Minivan;yes;0;12;Highly Urban/ Urban;06/01/2022 06:25;complet;dev_express;[200€ - 400€]
513;F;51;Non;Non;[60k€ - 80k€];Commercial;Pickup;yes;2;11;z_Highly Rural/ Rural;27/01/2022 13:08;complet;dev_integral;[200€ - 400€]
514;M;37;Non;Non;[60k€ - 80k€];Private;z_SUV;no;4;14;Highly Urban/ Urban;05/02/2022 20:30;complet;dev_integral;[200€ - 400€]
515;M;64;Non;Non;[> 100k€];Commercial;Panel Truck;no;0;16;Highly Urban/ Urban;29/01/2022 06:11;complet;dev_express;[200€ - 400€]
516;F;47;Oui;Oui;[> 100k€];Private;Minivan;no;1;12;z_Highly Rural/ Rural;27/02/2022 09:10;complet;dev_integral;[200€ - 400€]
517;M;67;Oui;Oui;[< 20k€];Commercial;Pickup;no;0;18;z_Highly Rural/ Rural;07/05/2022 03:05;complet;dev_integral;[200€ - 400€]
518;F;48;Non;Non;[> 100k€];Commercial;Panel Truck;yes;5;10;Highly Urban/ Urban;21/05/2022 08:25;complet;dev_integral;[200€ - 400€]
519;F;33;Oui;Oui;[< 20k€];Private;z_SUV;no;0;10;Highly Urban/ Urban;03/01/2022 08:13;complet;dev_express;[200€ - 400€]
520;F;5;Non;Non;[60k€ - 80k€];Private;z_SUV;no;8;19;Highly Urban/ Urban;02/04/2022 14:20;complet;dev_premium;[400€ - 600€]
521;F;45;Non;Non;[40k€ - 60k€];Private;z_SUV;no;4;15;Highly Urban/ Urban;12/02/2022 15:16;complet;dev_premium;[400€ - 600€]
522;F;50;Non;Non;[60k€ - 80k€];Commercial;Panel Truck;yes;0;15;Highly Urban/ Urban;21/04/2022 08:04;complet;dev_express;[200€ - 400€]
523;M;18;Non;Non;[40k€ - 60k€];Commercial;Sports Car;no;1;11;Highly Urban/ Urban;09/04/2022 21:55;complet;dev_integral;[200€ - 400€]
